id,commun,nom,pascal_case,weight,genre,nombre,qte,categories,origine,cw
1,,{ h }Norman( Thavaud)?,Norman(Thavaud)?,10,M,S,1,internet youtube humour,1,
2,,Emmanuel Macron,(Emmanuel)?Macron,10,M,S,1,politique centre,1,
3,,Yoshi,Yoshi,10,M,S,1,fiction jeu_video,32,
4,,(K(e|é)mar|Marc Jarousseau),Kemar,10,M,S,1,internet youtube,1,
5,,Mario,Mario,10,M,S,1,fiction jeu_video,32,
6,,Jean-Luc Mélenchon,(JeanLuc|JL|)Mélenchon,10,M,S,1,politique gauche,1,
7,,Donald Trump,(Donald)?Trump,10,M,S,1,politique droite ext_droite,3,Trump
8,,Kim Jong-Un,KimJongUn,10,M,S,1,politique,12,
9,,Morsay,Morsay,10,M,S,1,musique internet,1,
10,,Cortex,Cortex,10,M,S,1,musique internet,1,
11,,Jul,Jul,10,M,S,1,culture musique,1,
12,,Cyprien( Iov),Cyprien,10,M,S,1,internet youtube humour,1,
13,,(Mister V|Yvick Letexier),MisterV,10,M,S,1,internet youtube culture musique cinema humour,1,
14,,Squeezie,Squeezie,10,M,S,1,internet youtube culture musique,1,
15,,un individu,UnIndividu,10,M,S,1,anonyme,,
16,,un lycéen,UnLycéen,10,M,S,1,anonyme,1,
17,,Damso,Damso,10,M,S,1,culture musique,8,
19,,Elon Musk,ElonMusk,10,M,S,1,patronat,3,
20,,Ramzy,Ramzy,5,M,S,1,culture humour cinema,1,
21,,Rayman,Rayman,10,M,S,1,fiction jeu_video,,
22,,François Fillon,(François)?Fillon,10,M,S,1,politique droite,1,
23,,Nicolas Sarkozy,(Nicolas)?Sarkozy,10,M,S,1,politique droite,1,
26,,Mark Zuckerberg,(Mark)?Zuckerberg,10,M,S,1,patronat gafam,3,
27,,Jeff Bezos,JeffBezos,10,M,S,1,patronat gafam,3,
28,,Mohamed Henni,MohamedHenni,1,M,S,1,internet youtube,1,
29,,François Hollande,FrançoisHollande,10,M,S,1,politique gauche,1,
30,,Luigi,Luigi,10,M,S,1,fiction jeu_video,32,
31,,Wario,Wario,10,M,S,1,fiction jeu_video,32,
32,,Herobrine,Herobrine,2,M,S,1,fiction jeu_video,,
33,,Link,Link,10,M,S,1,fiction jeu_video,,
34,,Barack Obama,(Barack)?Obama,10,M,S,1,politique centre gauche,3,
35,,Waluigi,Waluigi,10,M,S,1,fiction jeu_video,32,
36,,Rilès,Rilès,1,M,S,1,culture musique,1,
37,,Zinédine Zidane,(Zinedine)?Zidane,10,M,S,1,sport,1,
38,,La Fouine,(LaFouine|Fouiny),5,M,S,1,culture musique,1,
39,,Usul,Usul,10,M,S,1,internet youtube twitch politique gauche ext_gauche media edito,1,
40,,Alain Juppé,(Alain)?Juppé,10,M,S,1,politique droite,1,
41,,Xavier Niel,XavierNiel,2,M,S,1,patronat,1,
42,,Sans,Sans(Undertale)?,10,M,S,1,fiction jeu_video,,
43,,(Maître )?Yoda,Yoda,10,M,S,1,fiction cinema non_humain,,
44,,Christophe Barbier,ChristopheBarbier,10,M,S,1,media edito,1,
45,,Pascal Praud,PascalPraud,10,M,S,1,media tv,1,
46,,Éric Brunet,ÉricBrunet,10,M,S,1,media edito,1,
47,,Raphaël Enthoven,(Raphaël)?Enthoven,10,M,S,1,media edito,1,
48,,Édouard Philippe,ÉdouardPhilippe,10,M,S,1,politique droite,1,
49,,Philippe Martinez,PhilippeMartinez,10,M,S,1,politique gauche ext_gauche,1,
50,,Pierre Ménès,PierreMénès,5,M,S,1,media tv sport,1,
51,,Banksy,Banksy,10,M,S,1,culture,4,
52,,le Pape François,LePape|PopeFrancis|PapeFrançois,10,M,S,1,,28,
53,,Vladimir Poutine,Poutine,10,M,S,1,politique droite ext_droite,14,
54,,Alexandre Benalla,(Alexandre)?Benalla,10,M,S,1,politique,1,
55,,Patrick Balkany,(Patrick)?Balkany,10,M,S,1,politique droite,1,
56,,Gérard Collomb,GérardCollomb,10,M,S,1,politique centre droite,1,
57,,un policier,UnPolicier,10,M,S,1,anonyme,1,
59,,TheKairi78,TheKairi78,2,M,S,1,internet youtube,1,
60,,Booba,Booba,10,M,S,1,culture musique,1,
61,,Kaaris,Kaaris,10,M,S,1,culture musique,1,
62,,Hugo Clément,HugoClément,10,M,S,1,media journalisme,1,
63,,un chien,UnChien,10,M,S,1,non_humain,,
64,,un chat,UnChat,10,M,S,1,non_humain,,
65,,Nicolas Hulot,NicolasHulot,10,M,S,1,politique ecolo,1,
68,,Stéphane Bern,StéphaneBern,10,M,S,1,tv,1,
69,,Éric Zemmour,ÉricZemmour,30,M,S,1,politique ext_droite media,1,Zemmour
70,,Laurent Ruquier,(Laurent)?Ruquier,10,M,S,1,tv,1,
71,,Michel Drucker,(Michel)?Drucker,10,M,S,1,tv,1,
72,,(le )?Google Assistant,GoogleAssistant,5,M,S,1,non_humain,3,
73,,Siri,Siri,5,M,S,1,non_humain,3,
74,,Xavier Dupont de Ligonnès,XavierDupontDeLigonnès|XDDL,10,M,S,1,,1,
75,,Bowser,Bowser,10,M,S,1,fiction jeu_video,32,
76,,Tom Nook,TomNook,10,M,S,1,fiction jeu_video,,
77,,Jean-Marie Le Pen,JeanMarieLePen|JMLP,10,M,S,1,politique ext_droite,1,Jean-Marie Le Pen
78,,Manuel Valls,(Manuel)?Valls,10,M,S,1,politique gauche centre,1,
79,,Cyril Hanouna,(Cyril)?Hanouna,10,M,S,1,tv,1,
80,,LiL Pump,LilPump,1,M,S,1,culture musique,3,
81,,Kanye West,KanyeWest,10,M,S,1,culture musique,3,
82,,Bill Gates,BillGates,10,M,S,1,patronat gafam,3,
83,,Bernard Arnault,BernardArnault,5,M,S,1,patronat,1,
86,,Christophe Castaner,(Christophe)?Castaner,10,M,S,1,politique gauche centre droite,1,
87,,Alain Chabat,AlainChabat,10,M,S,1,culture tv humour cinema,1,
88,,Alexandre Astier,AlexandreAstier,10,M,S,1,culture serie cinema,1,
89,,Alain de Bitssbailledrey,AlainDeBitssbailledrey,2,M,S,1,fiction,1,
90,,Thierry Pelouse,ThierryPelouse,2,M,S,1,fiction,1,
91,,Adolf Mussolin,AdolfMussolin,2,M,S,1,fiction,1,
92,,Gaetan Le Singe,GaetanLeSinge,2,M,S,1,fiction,1,
93,,Paco Lopez,PacoLopez,2,M,S,1,fiction,1,
94,,(Maître )?Gims,Gims,10,M,S,1,culture musique,1,
95,,Kev Adams,KevAdams,10,M,S,1,culture humour cinema,1,
97,,le Joueur du Grenier|Frédéric Molas,JDG,10,M,S,1,internet youtube twitch videaste,1,
99,,Cédric Villani,CédricVillani,5,M,S,1,politique centre,1,
100,,le Gouvernement,(Le)?Gouvernement,10,M,S,41,politique centre droite,1,
101,,François Asselineau,(François)?Asselineau,10,M,S,1,politique droite ext_droite,1,
102,,Lorànt Deutsch,LoràntDeutsch,10,M,S,1,culture tv cinema,1,
103,,Steve de Minecraft,Steve(DeMinecraft)?,10,M,S,1,fiction jeu_video,17,
104,,Laurent Wauquiez,(Laurent)?Wauquiez,10,M,S,1,politique droite,1,
105,,Alexis Corbière,(Alexis)?Corbière,2,M,S,1,politique gauche,1,
106,,Edwy Plenel,EdwyPlenel,10,M,S,1,media journalisme,1,
107,,Jean-Michel Aulas,JeanMichelAulas,5,M,S,1,sport foot,1,
108,,Didier Deschamps,DidierDeschamps,10,M,S,1,sport foot,1,
109,,Bruno Genesio,BrunoGenesio,3,M,S,1,sport foot,1,
110,,Olivier Giroud,(Olivier)?Giroud,10,M,S,1,sport foot,1,
112,,Blaise Matuidi,(Blaise)?Matuidi,10,M,S,1,sport foot,1,
113,,Bill du Bigdil,BillDuBigdil,10,M,S,1,tv fiction,1,
115,,un gilet jaune,GiletJaune,10,M,S,1,politique,1,
116,,Thanos,Thanos,10,M,S,1,fiction cinema bd,,
120,,Bernie Sanders,(Bernie)?Sanders,10,M,S,1,politique gauche,3,
121,,(Jean-Pierre|J.-P.) Pernaut,JeanPierrePernaut|JPP,10,M,S,1,tv journalisme,1,
123,,Tibo InShape,TiboInShape,10,M,S,1,internet youtube,1,
124,,Alain Soral,(Alain)?Soral,3,M,S,1,internet politique ext_droite,1,Alain Soral
125,,Dieudonné,Dieudonné,5,M,S,1,politique ext_droite culture humour,1,Dieudonné
126,,Philippe Poutou,(Philippe)?Poutou,10,M,S,1,politique ext_gauche,1,
127,,Olivier Besancenot,(Olivier)?Besancenot,10,M,S,1,politique ext_gauche,1,
128,,Karim Debbache,KarimDebbache,10,M,S,1,internet videaste culture cinema,1,
129,,Karim Benzema,(Karim)?Benzema,10,M,S,1,sport foot,1,
130,,Xi Jinping,XiJinping,10,M,S,1,politique gauche,10,
131,{ .media = Media },un journaliste { .media.comp_explicite },(Journaliste)?{ .media.pascal_case },10,M,S,1,media journalisme,,
134,{ .acteur1 = Pers }|{ $info.not_sujet({ .id }); .acteur1 = $info.sujet }|{ $info.not_objet({ .id }); .acteur1 = $info.objet }|{ .acteur1 = Entreprise },{ .acteur1.comp(l’avocat) },AvocatDe{ .acteur1.pascal_case },10,M,S,1,anonyme,,
135,,"un agriculteur{ `.delieu ||= s( { `.lieu ||= Lieu(region,departement,etat)`.comp_explicite })` }",Agriculteur,2,M,S,1,anonyme,,
137,,Carlos Ghosn,CarlosGhosn,10,M,S,1,patronat,1,
138,,Patrick Sébastien,PatrickSébastien,10,M,S,1,tv,1,
139,,Julien Lepers,JulienLepers,5,M,S,1,tv,1,
140,,Yann Barthès,YannBarthès,10,M,S,1,tv media,1,
141,,Kirby,Kirby,10,M,S,1,fiction jeu_video,,
142,,Nicolas Dupont-Aignan,(Nicolas)?DupontAignan|NDA,10,M,S,1,politique droite ext_droite,1,
143,,quelqu’un,QuelquUn,10,M,S,1,anonyme,,
144,,personne,Personne,1,M,S,0,anonyme,,
145,{ .acteur1 = Pers }|{ $info.not_sujet({ .id }); .acteur1 = $info.sujet }|{ $info.not_objet({ .id }); .acteur1 = $info.objet },{ .acteur1.comp(un fan) },Fan2{ .acteur1.pascal_case },5,M,S,1,anonyme,,
146,,Stéphane Plaza,StéphanePlaza,2,M,S,1,tv,1,
147,,Jean-Claude Van Damme,JCVD,10,M,S,1,culture cinema,8,
148,,IbraTV,IbraTV,5,M,S,1,internet youtube,1,
149,,Antoine Griezmann,(Antoine)?Griezmann,10,M,S,1,sport foot,1,
150,,Lacrim,Lacrim,10,M,S,1,culture musique,1,
151,"{ .lieu = Lieu(region,etat,departement) }","un indépendantiste ({ .lieu.adj(M,S) }|{ .lieu.comp_explicite })",Indépendantiste{ .lieu.pascal_case },10,M,S,1,anonyme politique,,
152,,Damien Saez,DamienSaez,10,M,S,1,culture musique,1,
153,,Jérôme Cahuzac,JérômeCahuzac,3,M,S,1,politique gauche,1,
154,,François Ruffin,(François)?Ruffin,10,M,S,1,politique gauche,1,
155,,George W. Bush,(GeorgeW)?Bush,10,M,S,1,politique droite,3,
156,,Éric Judor,ÉricJudor,5,M,S,1,culture humour cinema,1,
157,,Benjamin Netanyahu,(Benjamin)?Netanyahu,7,M,S,1,politique droite,23,
158,{ .acteur1 = Pers }|{ .acteur1 = $info.sujet }|{ .acteur1 = $info.objet },{ .acteur1.comp(le fils caché) },FilsCachéDe{ .acteur1.pascal_case },10,M,S,1,anonyme,,
159,"{ .bord = s(indépendantiste { `.lieu = Lieu(region,etat,departement)`.adj(M,S) }|d’ultra-gauche|d’ultra-droite|d’ultra-centre|d’extrême-gauche|d’extrême-droite|d’extrême-centre|de centre-gauche|de la droite modérée|écologiste|anarchiste) }",un terroriste { .bord },Terroriste,10,M,S,1,politique anonyme,,
160,,Julien Coupat,JulienCoupat,5,M,S,1,politique ext_gauche,1,
161,,Rohff,Rohff,10,M,S,1,culture musique,1,
163,,Garfield,Garfield,10,M,S,1,non_humain fiction bd,3,
164,,Jean-Pierre Foucault,JeanPierreFoucault,5,M,S,1,tv,1,
165,,David Guetta,DavidGuetta,5,M,S,1,culture musique,1,
166,,Jack Dorsey,Jack(Dorsey)?,10,M,S,1,patronat gafam,3,
167,,Benoît Hamon,(Benoît)?Hamon,10,M,S,1,politique gauche ecolo,1,
168,{ .orga = Orga },"un militant ({ .orga.adj(M,S) }|{ .orga.sigle })",Militant{ .orga.pascal_case },10,M,S,1,politique anonyme,,
169,,Jeremy Corbyn,(Jeremy)?Corbyn,10,M,S,1,politique gauche,4,
170,,un CRS,CRS,10,M,S,1,anonyme,1,
171,,Gérard Depardieu,(Gérard)?Depardieu,3,M,S,1,culture cinema,1,
172,,Slavoj Žižek,Žižek|Zizek,10,M,S,1,litterature,,
173,,PewDiePie,PewDiePie,10,M,S,1,internet videaste youtube jeu_video,40,
175,,Plantu,Plantu,10,M,S,1,media culture bd,1,
176,,Yann Moix,YannMoix,10,M,S,1,media edito culture cinema litterature,1,
180,,Jay-Z,JayZ,10,M,S,1,culture musique,3,
181,,Nicolás Maduro,Maduro,5,M,S,1,politique gauche,16,
182,,Éric Dupont-Moretti,(Éric)?DupontMoretti,10,M,S,1,politique centre droite,1,
183,,un homme,UnHomme,10,M,S,1,anonyme,,
184,,Reggie Fils-Aimé,Reggie(FilsAimé)?,5,M,S,1,patronat,3,
185,,Antoine Daniel,AntoineDaniel,10,M,S,1,internet youtube twitch,1,
186,,Drake,Drake,10,M,S,1,culture musique,9,
188,,Gad Elmaleh,GadElmaleh,10,M,S,1,culture humour cinema,1,
189,,Philippe Etchebest,(Philippe)?Etchebest,10,M,S,1,tv,1,
192,,François de Rugy,(François)?DeRugy,10,M,S,1,politique centre ecolo,1,
193,,Boris Johnson,BorisJohnson,10,M,S,1,politique droite,4,
194,{ .ville = Lieu(ville) },le maire { .ville.comp_explicite },"Maire{ voy({ .ville.pascal_case },D{ .ville.pascal_case },De{ .ville.pascal_case }) }",10,M,S,1,politique,,
195,,Francky Vincent,FranckyVincent,10,M,S,1,culture musique,1,
196,,6ix9ine,6ix9ine,5,M,S,1,culture musique,3,
197,,Jean-Marie Bigard,(JeanMarie)?Bigard,10,M,S,1,culture humour,1,
198,,Laurent Alexandre,LaurentAlexandre,5,M,S,1,media,1,
199,,la fille qui lit ceci,LaFilleQuiLitCeci,1,F,S,1,anonyme,,
200,,Brigitte Macron,BrigitteMacron,10,F,S,1,politique centre droite,1,
202,,Peach,Peach,10,F,S,1,fiction jeu_video,32,
203,,Marie d’Animal Crossing,Marie,10,F,S,1,fiction jeu_video,,
204,,Marine Le Pen,MarineLePen,20,F,S,1,politique ext_droite,1,Marine Le Pen
205,,Alexa,Alexa,5,F,S,1,non_humain gafam,3,
206,,Hillary Clinton,HillaryClinton,5,F,S,1,politique gauche centre,3,
208,,une poule,UnePoule,10,F,S,1,non_humain,,
209,,Natoo,Natoo,10,F,S,1,internet videaste youtube humour,1,
210,,Mylène Farmer,Mylène(Farmer)?,10,F,S,1,culture musique,1,
211,,Arielle Dombasle,ArielleDombasle,10,F,S,1,culture musique cinema,1,
212,,Laurence Boccolini,LaurenceBoccolini,5,F,S,1,tv,1,
213,,Valérie Damidot,ValérieDamidot,2,F,S,1,tv,1,
214,,Aurore Berger,AuroreBerger,10,F,S,1,politique droite,1,
